Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ph_2abcd28b	na	[[]If you've gotten to this point, the script hasn't been completed up to this point.	game/script.rpy	264	na "[what]"
ph_2272bc96	na	[[]Please wait for future updates as we continue to finish the game!	game/script.rpy	266	na "[what]"
riri_2d6e74ec	riri	Yay! You did it! I'm so proud of you Naninani. Okay... let's see your options...	game/script.rpy	275	riri "[what]"
riri_0b96cc05	riri	Your teacher is really mad right now. If you went to class you'd definitely receive that anger.	game/script.rpy	278	riri "[what]"
riri_935266b9	riri	But... if you skip class you could find yourself in a battle for your very fate.	game/script.rpy	280	riri "[what]"
riri_c0f1e197	riri	Ooooh spicy. You know which one I would choose. Wink. Wink.	game/script.rpy	283	riri "[what]"
riri_f25e8013	riri	Hehehehe...	game/script.rpy	289	riri "[what]"
riri_9dbe8298	riri	Follow your gut, Naninani!	game/script.rpy	295	riri "[what]"
riri_7e690468	riri	You have to go to that party Naninani! 'Kay?	game/script.rpy	301	riri "[what]"
riri_d892bd89	riri	Look at this cutie-patootie! Maybe you don't have to go to that party Naninani.	game/script.rpy	307	riri "[what]"
riri_c542769b	riri	The choice is yours... though I am a fan of Chiba-kun myself... hehehehehe...	game/script.rpy	310	riri "[what]"
riri_1ab4b781	na	[[]Riri shakes her head. It looks like she doesn't want to talk to you right now.	game/script.rpy	316	na "[what]"
riri_2dcdbe09	riri	The drama! As the main character, you must pick at least one of them!	game/script.rpy	322	riri "[what]"
riri_96e0888d	riri	Don't let the temptation of the forbidden fruit fool you!	game/script.rpy	324	riri "[what]"
riri_0507a24a	riri	Hey, Naninani, he's really asking you on a date!	game/script.rpy	330	riri "[what]"
riri_cb125b83	riri	I never thought you'd make it this far... It truly brings tears to my eyes!	game/script.rpy	333	riri "[what]"
riri_88eba00a	riri	Anyways, you HAVE to go with him! For me <3	game/script.rpy	336	riri "[what]"
riri_a8ace230	riri	Wow, did you really just ask him on a date?!?! All by yourself??	game/script.rpy	342	riri "[what]"
riri_6afdd918	riri	I knew you could do it! They grow up so fast...	game/script.rpy	345	riri "[what]"
riri_184ef607	riri	That's a tough one...	game/script.rpy	351	riri "[what]"
riri_86203504	riri	Either way will bring you two closer, right? So, I'll let you decide this time...	game/script.rpy	354	riri "[what]"
riri_082c7052	riri	If you go to the basketball game, Chiba-kun is totes falling for you!	game/script.rpy	360	riri "[what]"
riri_d6f057cf	riri	Partying is fine too though I guess...	game/script.rpy	363	riri "[what]"
riri_a77e8bc0	riri	Poor Chiba... Oh well, this means even more love routes!	game/script.rpy	369	riri "[what]"
riri_8d4b9d20	riri	Oooh, you like the bad ones, huh?	game/script.rpy	375	riri "[what]"
riri_1cab9592	riri	If you go get drinks with Isamu, you'll find yourself in a world of broken doors, crime, and... cats?	game/script.rpy	381	riri "[what]"
riri_87aa9330	riri	I mean, that's basically your only option... right? Right?	game/script.rpy	383	riri "[what]"
riri_f1f70277	riri	What an unexpected twist!	game/script.rpy	389	riri "[what]"
riri_0dc0de51	riri	Come on, Naninani! He's the love of your life, your soulmate! You must save him!	game/script.rpy	392	riri "[what]"
riri_1e8db84d	riri	You need to be more explorative! Maybe this girl on the poster is actually your soulmate!	game/script.rpy	398	riri "[what]"
riri_f10a0686	riri	Maybe we should just give the, the benefit of the doubt? But why would they have your ring and not give it back? Hmmm...	game/script.rpy	404	riri "[what]"
riri_4e4d2f53	riri	How strange... let's test them to see if they know the password!	game/script.rpy	410	riri "[what]"
riri_33bee81e	riri	We can always just do the project another dayyy...	game/script.rpy	416	riri "[what]"
riri_21773ac9	riri	You could call the cops, but the culprit is already long gone...	game/script.rpy	422	riri "[what]"
riri_47af242b	riri	CHIBA-KUN WANTS TO GO SOMEWHERE ELSE?!?! JUST THE TWO OF YOU?!?! AAAAAAAAAA GO NANINANI GOOO!	game/script.rpy	428	riri "[what]"
riri_e49014d6	riri	Look at you go!	game/script.rpy	434	riri "[what]"
riri_0609c4ce	riri	A fight would be fun...	game/script.rpy	440	riri "[what]"
riri_37a960ff	riri	But wait, no, Yutaka won't like it if you cause a huge fight!	game/script.rpy	443	riri "[what]"
riri_c8c0cab8	riri	Think about his feelings, and just let this play out peacefully!	game/script.rpy	446	riri "[what]"
riri_d5eaed46	riri	Dang it [mcname], I told you he would be mad!	game/script.rpy	452	riri "[what]"
riri_85c4c8c3	riri	But, he did seem pleased that you went that far for him... hehe!	game/script.rpy	455	riri "[what]"
riri_ddd95d74	riri	If you accept his forgiveness and change now, you can still have a chance!	game/script.rpy	458	riri "[what]"
riri_e141011c	riri	Come on now, what are you waiting for? Do it!	game/script.rpy	461	riri "[what]"
riri_744f2036	riri	Why are you looking at me?	game/script.rpy	467	riri "[what]"
riri_dcf59e9f	riri	This time it's your decision, okay?	game/script.rpy	469	riri "[what]"
riri_27deb40a	riri	*gasp*	game/script.rpy	475	riri "[what]"
riri_c6a3ff2c	riri	Follow your gut, [mcname]!	game/script.rpy	481	riri "[what]"
riri_e51cb9db	riri	Hey, why are you looking at me?	game/script.rpy	487	riri "[what]"
riri_b0bc30b2	riri	Come on now, you should know this...	game/script.rpy	490	riri "[what]"
riri_6a1e4c46	riri	Oh [mcname], how could this have happened!?	game/script.rpy	496	riri "[what]"
riri_67981382	riri	I wish I could use my magic to get us out of here... But this cage is magic proof!	game/script.rpy	499	riri "[what]"
riri_3fcc2151	riri	Dang that Haruka, how did she...	game/script.rpy	502	riri "[what]"
riri_68aa21b9	riri	Forget it. You are going to have to find a way out of this.	game/script.rpy	505	riri "[what]"
riri_e2028347	riri	For your sake, Akimitsu's sake... and most importantly... mine!	game/script.rpy	508	riri "[what]"
riri_9c3b34fe	riri	Please!	game/script.rpy	510	riri "[what]"
riri_a12dc25c	riri	Ooh, this is so exciting!!	game/script.rpy	516	riri "[what]"
riri_ff0783f4	riri	Do you know what this means?! Yutaka is asking you out!!	game/script.rpy	518	riri "[what]"
riri_a5b464be	riri	You'd better go with him. I'll be furious if you don't!	game/script.rpy	521	riri "[what]"
riri_a0784df3	riri	OMG, this is big! That Akimitsu, your Akimitsu, with another girl?!	game/script.rpy	527	riri "[what]"
riri_396fa8a0	riri	And now of all times?! You and Yutaka were doing so well...	game/script.rpy	530	riri "[what]"
riri_c968bf08	riri	Aauughh-- I don't know what to do!! Just figure something out!	game/script.rpy	533	riri "[what]"
riri_d0ec8558	riri	Yes! I told you, you have a chance!	game/script.rpy	539	riri "[what]"
riri_11743832	riri	Now whatever you do, don't mess it up this time!	game/script.rpy	541	riri "[what]"
riri_ecd574e6	riri	Hmmm... this is a toughie.	game/script.rpy	547	riri "[what]"
riri_9b194940	riri	As much as I don't want to see Chiba-kun with another girl, I can't say I'm much for violence either...	game/script.rpy	549	riri "[what]"
riri_756040ac	riri	You also want to keep Yutaka in mind-- someone might get mad here.	game/script.rpy	552	riri "[what]"
riri_653969c4	na	[[]It doesn't look like Riri has anything to say right now.	game/script.rpy	557	na "[what]"
start_d6795c63	na	Welcome. We're glad you could make it. Again. Weirdo. Who are you anyway?	game/script.rpy	608	na "[what]"
start_f18042d7	na	Ah, got it. Hi, [mcname]. Welcome to Gwetome Academy, where this story-- your story-- is continuing into its second year of high school. A new year of love, lust, and violent tendencies.	game/script.rpy	621	na "[what]"
